가게ID,가게명,업종,평점,날짜,리뷰내용
92673530,개뿔갤러리카페,카페,,,개뿔과 연결되어있는 곳에 베이터리가 생겼어요. 가격도 많이 비싸지 않은데 맛도 좋아요. 선선해진 날에 멋진 뷰와 맛있는 ☕️🥪 먹으면 행복 그 자체입니다. 🩵
92673530,개뿔갤러리카페,카페,,,"굿 실수로 라떼를 엎어서 죄송, 음료까지 다시주시고 죄송×감사"
92673530,개뿔갤러리카페,카페,,,낙산공원 근처 분위기 조오오오은 카페!!! 야외가 덥다면 시원한 실내도 있고 진짜 뷰하나는 너무나 좋은곳!!!
92673530,개뿔갤러리카페,카페,,,"낙산공원 산책길 따라 내려오다 자연스레 발길이 닿는 카페 개뿔은, 워낙 자주 찾는 나의 단골 카페. 뷰 맛집은 많지만 음료나 빵이 아쉬운 경우가 많은데, 여기는 달라요. 탁 트인 서울 도심뷰와 쨍한 가을하늘을 만끽할 수 있을 뿐 아니라, 인생 마들렌이라 부를 만큼 맛있는 디저트와 담백한 잠봉뵈르 샌드위치까지 찐 만족!"
92673530,개뿔갤러리카페,카페,,,낙산공원 올라갔다가 들러봤네요. 동선이 오르락 내리락 좀 정신은 없는데 테라스에서 바라본 서울풍경 탁 트여서 좋았어요~
92673530,개뿔갤러리카페,카페,,,낙산공원 올라갔다가 들러봤네요. 동선이 오르락 내리락 좀 정신은 없는데 테라스에서 바라본 서울풍경 탁 트여서 좋았어요~
92673530,개뿔갤러리카페,카페,,,남산타워 뷰 보면서 커피 마시니 세상에 이렇게 여유로울수가 !
92673530,개뿔갤러리카페,카페,,,남산타워 뷰 보면서 커피 마시니 세상에 이렇게 여유로울수가 !
92673530,개뿔갤러리카페,카페,,,다만 탁 트인 서울 도심뷰를 감상할 수 있는 큰 장점이 있고 카페 자체 분위기도 좋아서 방문해 볼만 합니다.
92673530,개뿔갤러리카페,카페,,,"따뜻한 커피 한 잔을 축이며, 조금이나마 휴일의 여유를 더욱 만끽하였습니다."
92673530,개뿔갤러리카페,카페,,,"따뜻한 커피 한 잔을 축이며, 조금이나마 휴일의 여유를 더욱 만끽하였습니다."
92673530,개뿔갤러리카페,카페,,,밤마실로 갔는데 뷰도 좋고 음료도 맛나요 수박쥬스가 달지 않아서 좋았어요.
92673530,개뿔갤러리카페,카페,,,"뷰가 너무너무 좋아요. 외국인이 절반인듯! 차 타고오시면 낙산공원 주차장에 주차하거나, 갓길에 대세요. 여름에는 너무 더워서 야외 못앉는게 좀 아쉽지만 가을쯤 가보세요. 너무 예뻐요"
92673530,개뿔갤러리카페,카페,,,"뷰가 너무너무 좋아요. 외국인이 절반인듯! 차 타고오시면 낙산공원 주차장에 주차하거나, 갓길에 대세요. 여름에는 너무 더워서 야외 못앉는게 좀 아쉽지만 가을쯤 가보세요. 너무 예뻐요"
92673530,개뿔갤러리카페,카페,,,뷰가 참 좋아요 무인카페였으면 더좋았을것같아요. 직원이 많이지쳐보여요
92673530,개뿔갤러리카페,카페,,,뷰조코 시원하고~~ 좋아용~ 가끔 오는곳이지만 올때마다 좋은느낌~~ 좋아요~♡
92673530,개뿔갤러리카페,카페,,,수박주스도 시원하고 경치가 좋네요. 더워도 경치가 좋아 야외 테이블에서 마셨어요.
92673530,개뿔갤러리카페,카페,,,아침에 방문예약 없이 이용대기 시간 바로 입장
92673530,개뿔갤러리카페,카페,,,아침에 방문예약 없이 이용대기 시간 바로 입장일상친구
92673530,개뿔갤러리카페,카페,,,아침에 방문예약 없이 이용대기 시간 바로 입장일상친구
92673530,개뿔갤러리카페,카페,,,여의도 불꽃축제가 좀 보여서 더 좋았습니다 재방문 의사OO
