가게ID,가게명,평점,날짜,리뷰내용
13488297,"계열사치킨,닭강정",,,4번째방문입니다💛 주말 애매한 시간에 방문에서 30분 대기 후 입장했어요 ㅎㅎ 진짜너무 바삭하고 부드럽고 맛있어요! 골뱅이소면은 ⭐️비비지 않고⭐️따로먹어야 정말 맛있어요!!!!!! 오늘도 잘먹고갑니다 ㅎㅎ 다음엔 닭목살볶음? 한번 먹어보려구여~~🩷
13488297,"계열사치킨,닭강정",,,"New! 닭목살 바베큐를 먹고 왔어요~ 저번에 방문 했을때 직원분들이 식사로 드시고 계셔서 ㅋㅋ 그날 영업당해서 벼르고 가서 먹고 왔는데, 너무 맛있네요😭✨ 밤 21:45에 도착해서 후다닥 먹고 왔어요. 햇반🍚이랑 먹으니 넘 맛있습니다. 숯불향좀 있고 매콤한데 뼈가 없어서 닭발보다 씹을 면적 넓어서 좋았어요! 3️⃣명이상 모일때 후라이드1개 + 닭목살바베큐 추천드립니다🥰"
13488297,"계열사치킨,닭강정",,,"✅ 맛: 솔찍히요.. 추천받고 갔는데 실망했어요. 말복이라 사람이 많았던건지 겉은 투 머치 바삭(살짝 딱딱하고), 가슴살 좋아하는데 너무 퍽퍽해서 이날만 이런건가 머릿속에 물음표 그려졌어요. 다른 테이블도 남긴테이블 꽤 많구.."
13488297,"계열사치킨,닭강정",,,갓 튀긴 치킨과 감자 짜지 않고 같이 나온 소스도 자극적이지 않아 맛있게 먹었네요~~골뱅이 소면 매콤하니 치킨이랑 잘 어울려요~~ 시간 여유 있었으면 치킨 추가로 더 먹었을거 같아요^^
13488297,"계열사치킨,닭강정",,,"골뱅이 소스가 과일 갈은 것 같다 생각했는데 나오면서 보니 그렇게 써 있더라고요. 막 달기만 하거나 하지않고 신선한 채소도 잘 느껴져서 생각나는 맛이예요. 소면은 양념되어있다는 것도 다른 집과 달랐지만, 삶아서 아주 잘 헹궈내신건지 어떻게 하신건지 소면이 퍼지거나 잘 붙지도 않고 맛있었어요."
13488297,"계열사치킨,닭강정",,,그 근처에 갔다가 집에 계신 부모님께 드리려고 포장 주문했는데 계산시 사용하는 카드가 없어서 카운터 앞에서 난감해 했었던 상화이었어요. 그러나 일반적으로 손님이 당황하고 지연된 것에 대해 죄송하다고 말했음에도 불구하고 나이드신 주인장은 면박을 주더군요. ( 바쁜데 미리미리 준비 안해왔다면서 )
13488297,"계열사치킨,닭강정",,,그리고 웨이팅은 토요일 저녁 갔다가 재료소진으로 일요일 재방문 웨이팅 30분정도 한 것 같아요
13488297,"계열사치킨,닭강정",,,"남녀 두명이서 후라이드 1 골뱅이 소 1개 주문했습니다. 지난번에 왔을땐 퍽퍽살까지 정말 맛있게 먹어서 오늘도 기대하고 왔는데, 오늘은 먹으면서 퍽퍽살이 질겼어요… 입천장이 아프네요."
13488297,"계열사치킨,닭강정",,,딱 옛날통닭! 이예요 두꺼운 튀김옷이 아니라 얼마나 반가운지… 시원한 맥주에 딱 좋아요~
13488297,"계열사치킨,닭강정",,,바쁘신건 알겠는데 직원분들 교육 잘 시키시면 좋을 것 같네요. 특히 사장님 안 계시는 지하 1층 중심으로 제안드립니다.
13488297,"계열사치킨,닭강정",,,바삭하고 담백한 옛날통닭 느낌이었어요. 어찌나 잘 튀겨졌는지 정말 맛있게 잘 먹었어요! 초1 아들도 폭풍흡입했어요 ㅎㅎ 서울 3대치킨이라고 할 만큼 유명한 맛집이다보니 일요일 점심에 웨이팅 20-30분 정도 했고 웨이팅한 시간이 아깝지 않은 맛이었습니다. 서울미술관 왔다가 부암동 맛집 탐방하면 딱이예요!
13488297,"계열사치킨,닭강정",,,바삭한 치킨옷이 너무 맛있어요. 양도 넉넉해서 좋아요! 치킨으로 줄세우는 맛집입니다. 매장이 이리저리 넓어서 자리 회전율이 좋은 편인 것 같아요. 오래 기다리지않고 빨리빨리 들어갔어요.
13488297,"계열사치킨,닭강정",,,반죽을 얇게입혀 튀겨낸 옛날식 후라이드와 큼직한 웨지 감자도 같이 나오는데 치킨이 엄청 바삭하고 기본 간이 짭쪼롬해서 그냥 먹어도 맛있고 포슬포슬한 감튀도 맛있네요.🤩
13488297,"계열사치킨,닭강정",,,아이도 먹을 수 있도록 접시 한쪽 부분에 소면이 따로 올려져 있어 아이에게 건내주기에도 너무 좋았어요.
13488297,"계열사치킨,닭강정",,,오랜만에..🍗✨ 포장 주문 전화하면 12분 후 방문으로 안내해주십니다. (현금 계산하면 음료수 서비스 주심🥤)
13488297,"계열사치킨,닭강정",,,워낙 유명한 곳인데 넘 더워서 기다릴 자신은 없고 포장했습니다 ㅎㅎ 치킨이 정말 맛있네요👍🏻
13488297,"계열사치킨,닭강정",,,음식 맛이 최고예요. 사장님도 친절하시고 기분 좋은 곳입니다. 또 가고 싶어요!!!
13488297,"계열사치킨,닭강정",,,이 동네 유명한 맛집이고 연옌 유튜브에도 나와서 그런지 평일 저녁에도 대기가 생겼네요ㅜㅜ 옛날 통닭 같은데 갓 튀겨나온 바삭함이 정말 맛있어요.그리고 골뱅이 소면은 꼭 시켜주세요. 골뱅이보다 소면이 정말 고소하고 맛있어요(응?)사실 비주얼론 평범한데 맛은 비범한 곳입니다!
13488297,"계열사치킨,닭강정",,,저녁에 방문예약 없이 이용대기 시간 30분 이내친목지인・동료
13488297,"계열사치킨,닭강정",,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
13488297,"계열사치킨,닭강정",,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상친구
13488297,"계열사치킨,닭강정",,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
13488297,"계열사치킨,닭강정",,,저녁에 방문예약 후 이용대기 시간 10분 이내 가족모임부모님
13488297,"계열사치킨,닭강정",,,저녁에 방문포장·배달 이용대기 시간 10분 이내 데이트연인・배우자
13488297,"계열사치킨,닭강정",,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상친척・형제
13488297,"계열사치킨,닭강정",,,"저는 텀블러 들고가서 500을 반씩 나누어 담고, 전화로 주문한 치킨을 바로 픽업해서, 자하손만두집 위로 조금 더 걸어올라가면 윤동주시인의 언덕 있는데, 그 근처에서 먹기도 합니다."
13488297,"계열사치킨,닭강정",,,점심에 방문예약 없이 이용대기 시간 10분 이내 데이트연인・배우자
13488297,"계열사치킨,닭강정",,,점심에 방문예약 없이 이용대기 시간 30분 이내
13488297,"계열사치킨,닭강정",,,점심에 방문예약 없이 이용대기 시간 30분 이내나들이연인・배우자
13488297,"계열사치킨,닭강정",,,점심에 방문예약 없이 이용대기 시간 바로 입장나들이친척・형제
13488297,"계열사치킨,닭강정",,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
13488297,"계열사치킨,닭강정",,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
13488297,"계열사치킨,닭강정",,,점심에 방문예약 후 이용대기 시간 30분 이상데이트연인・배우자
13488297,"계열사치킨,닭강정",,,제일 좋아하는치킨집 바삭튀긴 치킨의 맛이 끝내줘요 웨이팅하는거 싫어하는데 웨이팅해서
13488297,"계열사치킨,닭강정",,,주차할곳 찾기 좀 어려웠고 주말이라 웨이팅을 좀 많이했지만 그래도 치킨 맛있었어요
13488297,"계열사치킨,닭강정",,,지하는 화장실 냄새가 좀 납니다..ㅠ
13488297,"계열사치킨,닭강정",,,치킨맛 여전히 최곱니다 ㅠㅠ 가까이 있었다면 좋았을텐데요ㅠ 골뱅이소면도 불지 않고 너무 맛있어요!! 매장은 웨이팅 있더라구요~ 주차는 근처 주차장 만차거나 닫혀있어서 운전자는 뱅뱅 돌고 한 명 뛰어가서 사오고 그래야했어요>.<
13488297,"계열사치킨,닭강정",,,"치킨은 말해뭐해 당연히 맛있고, 같이 나오는 양념소스도 아삭아삭한 무까지 다 맛있었습니다 :)"
13488297,"계열사치킨,닭강정",,,치킨은 뭐 말해뭐해요. 주기적으로 생각나는 이 파삭함ㅋㅋ 이건 진짜 독보적이구요. 골뱅이는 작은사이즈가 있어서 이젠 세명이 와도 주문할수 있어서 좋네요. 골뱅이는 자르지 않고 통으로 넣어주셔서 몇개 안 들어간것 같지만 존재감은 확실합니다.
13488297,"계열사치킨,닭강정",,,치킨은 바삭하고 골뱅이는 매콤해서 맛있게 잘 먹었네요~
13488297,"계열사치킨,닭강정",,,"치킨이 좀 뻣뻣한 느낌, 튀겨 나온 치킨인데, 기름이 느껴지지 않게 담백해요."
13488297,"계열사치킨,닭강정",,,튀김옷이 얇고 바삭하니 맛있네요~ 둘이 후라이드1 맥주1 나눠먹으니 딱 좋게 배부르고 맛있어요~
13488297,"계열사치킨,닭강정",,,특히 같이 나오는 감자가 맛있고 골뱅이 국수도 자극적이지 않으면서 맛깔남~
13488297,"계열사치킨,닭강정",,,평일 저녁 5시 웨이팅 없이 먹었습니다. 그 유명한 계열사 치킨 드디어 먹어봅니다. 후라이드 치킨과 감자를 같이 튀겨주시는데 정말 맛있네요ㅎㅎㅎ 옛날 통닭 튀김 스타일이고 따로 주시는 치킨 양념 찍어먹으면 맛있습니다. 골뱅이소면도 시켜봤는데... 이건 사실 큰 특색이 없었다는 ㅠㅜ 제 기준 양념이 너무 밍밍했어요! 그래도 치킨은 맛나요💗
13488297,"계열사치킨,닭강정",,,"평일 저녁5시 기준으로 웨이팅 없었어요! 큼지막한 감자가 있어서 좋았구 , 치킨은 옛날 치킨 맛인데 냄새 안나고 엄청 바삭바삭해요! 같이 주시는 양념소스랑 정말 잘 어울려요.! 식을 수록 더 바삭바삭해져서 맛있어요! 뭔가 엄청난 맛은 아니지만 그냥 수수하게 계속 끌리는 기본 치킨 정석의 맛👍 많이 먹어도 전혀 느끼하지 않아서 좋았어요.!!"
13488297,"계열사치킨,닭강정",,,핸썸가이즈보고 방문했는데 좀 특별한 맛이 있네요 특히 골뱅이는 국수가 맛있었어요
13488297,"계열사치킨,닭강정",,,후라이드 치킨이랑 닭목살 바베큐 먹었어요! 닭목살 바베큐도 맛있긴 하지만 여긴 후라이드가 제일 맛있는것 같아요! 평일 저녁은 웨이팅 없었습니다! 닭목살 바베큐는 좀 매웠어요!
13488297,"계열사치킨,닭강정",,,후라이드치킨 겉바속촉으로 진짜 맛있었구요.같이 나오는 감자가 진짜 신의한수에요.
13488297,"계열사치킨,닭강정",,,👉🏻 토요일 저녁 5시 30분쯤 방문했어요. 바로 입장했는데 6시쯤에는 웨이팅 줄이 생기니 조금 일찍 방문하는게 좋을 것 같아요. 치킨은 튀김 옷이 얇고 바삭하니 옛날 치킨 같은 맛이였어요! 감자는 안이 포슬포슬하니 불량 감튀? 같지 않고 좋았어요! 감자튀김 같은 질감을 좋아하신다면 호불호가 좀 갈릴 것 같아요. 부암동에 오신다면 꼭 들려보세요!
21728194,니로사레스토랑,,,1인세트 양 푸짐하고 그냥 너무너무 맛있어요. 양 진짜 많은데 나중에는 찍어먹을 게 부족했어요. 라씨도 맛있고 그냥 다 짱
21728194,니로사레스토랑,,,근처에서 공연 보고 갔어요. 커리 맛있고 분위기도 현지 같아서 좋았어요.
21728194,니로사레스토랑,,,"난은 따뜻하고 바삭바삭하니, 씹으면서 고소한 맛이 올라오는게 그냥 먹어도 맛있고, 카레에 찍어 먹어도 맛있었습니다. 밥도 포슬포슬한게 카레랑 살짝 섞어먹으면 적당히 매콤하면서 중간중간 씹히는 고기가 맛을 더욱 풍부하게 해주는 것 같았어요!"
21728194,니로사레스토랑,,,"대학로 데이트 맛집, 인도 네팔 레스토랑, 인도커리 <니사로 레스토랑> 2인 세트 구성 알차고 가성비 좋아요. 난, 인도커리 특히 치킨티카마살라 맛있어요. 👍"
21728194,니로사레스토랑,,,맛있어여 카레도 적당한 양이고 처음에는 많은것 같아서 처음에 막 먹었는데 나중에 난 찍어먹을 카레가 부족 했어여 특별한 식사를 원하시면 가보면 좋을듯요
21728194,니로사레스토랑,,,"밖에서 커리 먹는 건 처음이었는데, 정말정말 맛있었어요. 기회가 된다면 또 가고 싶을 정도입니다👍"
21728194,니로사레스토랑,,,세트로 시켜먹었는데 버터난과 플래인 난 모두 부드럽고 커리랑 야무지가 싹 다 비우고 나왔네요 ㅎㅎ
21728194,니로사레스토랑,,,"세트메뉴 구성도 너무 알차고 가게 분위기도 너무 예뻤어요. 스페셜2인 세트로 팔락 파니르(시금치치즈카레)와 플레인 난, 버터 난, 밥, 치킨 티카, 음료는 딸기 라씨로 변경했어요. 향신료 맛이 강할까봐 걱정했는데 너무 맛있고 양도 많았어요~~ 다음에 또 방문하고 싶습니다."
21728194,니로사레스토랑,,,아이가 대학로에서 공연있어서 끝나고 초청한 지인들 식사대접 했어요. 10명 모여서 식사하기 넓고 좋았구요.
21728194,니로사레스토랑,,,양도 적당하고 맛있어요~ 한국말도 잘하시고 친전하세요 램(양고기) 들어간 커리 주문한건데 냄새나지 않고 다른 인도 음식점들에비해 향신료의 향이 강하지 않아서 호불호 없이 먹을수 있을듯 해요~^^
