가게ID,가게명,평점,날짜,리뷰내용
181633326,"더 스팟 패뷸러스카페,디저트",,,"내외국인이 모두 사랑하는 명동의 대표 베이커리 카페입니다. 무화과 타르트는 비주얼도 화려하지만 커스터드크림의 부드러움이 정말 환상적입니다. 셸이 부드러운 재질로 만들어져 있어 입에 넣는 순간, 그냥 사르르 녹아버리죠. 초컬릿 칩이 가득한 르뱅쿠키 쿠키도 촉촉하면서 부드러운 식감이 매력적입니다. 겉바속촉한 버터바는 바닥면에 칼집을 내놓았으니 뒤집어서 커팅하는 것이 수월합니다.. ㅎㅎ"
181633326,"더 스팟 패뷸러스카페,디저트",,,"단연코 명동에서 구움과자가 제일 맛있는 베이커리 카페입니다. 힙한 인테리어의 느좋 공간이기도 하구요. 타르트, 휘낭시에, 치즈케익, 르뱅쿠키, 버터바 등 디저트 어느 하나 빠짐없이 맛있어요. 커피 맛도 아주 훌륭하구요. 그래서 커피 마시고 돌아갈 때는 항상 디저트를 두둑히 포장해서 가게 되더라구요. ㅎㅎ"
181633326,"더 스팟 패뷸러스카페,디저트",,,"두번째 방문입니다. 그때도 커피와 디저트류를 시켰었는데, 맛있었던 기억이 있어서 다른 지인과 함께 또 와봤어요^^"
181633326,"더 스팟 패뷸러스카페,디저트",,,"디저트 & 커피 기대 이상으로 맛은 너무 좋았던 집이라 살짝, 놀랐어요! 그러니깐 블루리본💙 까지 받았나 싶더라구요."
181633326,"더 스팟 패뷸러스카페,디저트",,,디저트 맛집이라길래 연차내고 찾아왔어요!!! 너무 맛있어 보이는거 많아서 힘들게 골랐는데 종류별로 다먹어보고싶네요!!! 커피도 과실아로마에 부드러운 산미라서 디저트랑 조화가 너무 좋아요!♡♡ 무화과 티라미수는 무화과랑 크림이 진짜 맛있어요! 남편은 플로랑탱이 맛있다고 10개 먹고싶다네요^^ ㅋㅋㅋㅋ
181633326,"더 스팟 패뷸러스카페,디저트",,,디저트도 많고 분위기 좋아서 근방 올때는 항상 여기만 와요! 조용하고 추천해요~
181633326,"더 스팟 패뷸러스카페,디저트",,,디저트류도 맛있고 포장이 이뻐서 선물하기에도 좋아보여요^^
181633326,"더 스팟 패뷸러스카페,디저트",,,디저트종류가 정말많아서 5분이상 고민했네요.. 크림브륄레가 맛있대서 먹어봤는데 담백하고 좋습니다. 라떼는 진하지는 않은데 삼삼하고 맛있어요~ 인테리어 좋은데 여긴 오전에 조용할때 오면 더 좋을듯합니다. 평일 퇴근하고 왔는데도 북적거려요.
181633326,"더 스팟 패뷸러스카페,디저트",,,먹고 싶은 디저트가 너무 많았는데 참고 참아서 2가지만 골랐습니다🥲 하지만 다 맛있었고 음료는 2층에서 받고 반환해야합니다!!
181633326,"더 스팟 패뷸러스카페,디저트",,,먹고 싶은 디저트가 너무 많았는데 참고 참아서 2가지만 골랐습니다🥲 하지만 다 맛있었고 음료는 2층에서 받고 반환해야합니다!!
181633326,"더 스팟 패뷸러스카페,디저트",,,명동 구경하다가 지쳐서 들어갔는데.. 매장도 넓고.. 완전 분좋카 느낌이 좋아요! 그리고 이야기를 나누기
181633326,"더 스팟 패뷸러스카페,디저트",,,명동 나들이 할 때 오는 디저트 맛집 오늘은 상해에서 온 친구와 방문했습니다. 커피도 맛나고 특히 디저트가 맛있으니 꼭 드셔보시길요
181633326,"더 스팟 패뷸러스카페,디저트",,,명동 나들이 할 때 오는 디저트 맛집 오늘은 상해에서 온 친구와 방문했습니다. 커피도 맛나고 특히 디저트가 맛있으니 꼭 드셔보시길요
181633326,"더 스팟 패뷸러스카페,디저트",,,명동 올따마다 무조건?들리는 곳입니다♡ 케이크와 구움과자를 고를때의 행복은 정말 최고네요😍 엄청진한 말차치즈케이크👍조금만 더 차가웠으면 훨씬 맛있었을것같아요.카라멜무화과도 맛좋았어요♡ 다음엔 또 어딴디저트를먹을지 행복한고민할것같네요
181633326,"더 스팟 패뷸러스카페,디저트",,,명동에 위치한 준 대형카페로 내부 인테리어와 뷰를 보면 베트남이나 중국여행을 온것 같이 이국적이에요. 명동에서 밖에 나무를 감상할 수 있는 몇 안되는 곳이랍니다. 커피맛도 좋고 바스크치즈케익이 맛이 있어요. 명동에 온다면 한번 들러볼만한 핫스팟이랍니다. ^^
181633326,"더 스팟 패뷸러스카페,디저트",,,명동에 친구만나러 왔다가 우연히 들른 베이커리 카페에서 보물을 만난것처럼 기뻤어요..
181633326,"더 스팟 패뷸러스카페,디저트",,,명동에 친구만나러 왔다가 우연히 들른 베이커리 카페에서 보물을 만난것처럼 기뻤어요..
181633326,"더 스팟 패뷸러스카페,디저트",,,명동에서 진짜 예쁜 카페 찾으시면 여기로 오셔야돼요!!! 디저트 퀄리티도 좋고 직접 만드시더라고요.넓기도 하구 분위기도 짱짱 조음
181633326,"더 스팟 패뷸러스카페,디저트",,,명동에서 진짜 예쁜 카페 찾으시면 여기로 오셔야돼요!!! 디저트 퀄리티도 좋고 직접 만드시더라고요.넓기도 하구 분위기도 짱짱 조음
181633326,"더 스팟 패뷸러스카페,디저트",,,못참고 둘이서 세개나 시켰는데 다 먹어버렸어요😅 비주얼도 맛도 완전 최고입니다! 2층 매장이 은근히 크고 인테리어가 굉장히 예쁩니다! 금요일 오후에 방문했는데도 사람은 좀 많았어요 ㅎㅎ
181633326,"더 스팟 패뷸러스카페,디저트",,,무화과 티라미수 예뻐서 주문했는데 맛도 있어요! 넘 단것두 아니고 무화과도 맛있어서 크림이랑 빵이랑 잘 어울렸어요
181633326,"더 스팟 패뷸러스카페,디저트",,,무화과 티라미슈랑 피낭시에 진짜 너무 맛있어서 깜짝 놀랬어요 진짜 뭐 하나 빼놓을 수가 없이 다 너무 맛있고 분위기가 너무 좋아요
181633326,"더 스팟 패뷸러스카페,디저트",,,배불러서 다른건 못먹었는데 무화과 티라미수 미쳤어요! 다른 것도 먹고싶어서 또방문할 예정입니다
181633326,"더 스팟 패뷸러스카페,디저트",,,벌써 3번째 방문이에요!! 여기 무화과 티라미수 말고도 딸기티라미수랑 치즈케이크도 맛있어요!! 또 방문할께요!
181633326,"더 스팟 패뷸러스카페,디저트",,,"시킨 건 바나나 초코푸딩이랑 스모어 초코쿠키,크림치즈 무화과 휘낭시에 ,음료를 샀어요. 바나나 초코푸딩은 딸이 잘먹더라고요."
181633326,"더 스팟 패뷸러스카페,디저트",,,신기하고 흔치않은 디저트가 정말 많았어요. 음료 종류는 일반 적인 카페와 비슷했지만 디저트 맛집이라 불릴만큼 디저트가 다양했습니다.
181633326,"더 스팟 패뷸러스카페,디저트",,,약간 번거로운데 2층에 좌석이 있고 사진 보시다싶이 만석… 평일에도 점심은 피해야될 거 같아요! 그리고 편안한 좌석X 그리고 좌석간 가격이 좁다보니 옆사람이랑 일행 가능할 수준의 대화내용이 다 들립니다.. 조용한 분위기를 원하시는 분들은 비추천합니다! 디저트랑 음료는 매우 맛있고 직원들 또한 다들 친절해서 재방문 의사 있습니다!
181633326,"더 스팟 패뷸러스카페,디저트",,,엄마랑 간만에 데이트 왔는데 진짜 외관부터 넘 예뿌고 디저트가 넘 마시써여.. 특히 아인슈페너가 맛있습니다 덕분에 행복한 시간 보내고 갑니다 감사해요💗
181633326,"더 스팟 패뷸러스카페,디저트",,,엄마랑 간만에 데이트 왔는데 진짜 외관부터 넘 예뿌고 디저트가 넘 마시써여.. 특히 아인슈페너가 맛있습니다 덕분에 행복한 시간 보내고 갑니다 감사해요💗
181633326,"더 스팟 패뷸러스카페,디저트",,,"여기❤️ 담에 지인과 꼭 다시 올겁니다! 서비스, 가격, 맛, 모두가 만족스럽습니다. 사람이 많은데 유일한 단점 이겠네유, 평일도 이정도면..주말엔 진짜 많겠네요ㅜ"
181633326,"더 스팟 패뷸러스카페,디저트",,,"여기❤️ 담에 지인과 꼭 다시 올겁니다! 서비스, 가격, 맛, 모두가 만족스럽습니다. 사람이 많은데 유일한 단점 이겠네유, 평일도 이정도면..주말엔 진짜 많겠네요ㅜ"
181633326,"더 스팟 패뷸러스카페,디저트",,,예전에 낮에 와보고 오늘은 밤에 왔는데 낮과 밤 분위기가 완전 달라요 밤엔 조명도 어둑어둑하고 사람도 적어서 잔잔하고 편안한 너낌ㅎㅎ 크림브륄레 강추합니돵 빠삭달달하니 맛나요!!!
181633326,"더 스팟 패뷸러스카페,디저트",,,"오늘도맛있게잘먹고,결국바스크치즈케익포장까지해왔네요"
181633326,"더 스팟 패뷸러스카페,디저트",,,"오늘도맛있게잘먹고,결국바스크치즈케익포장까지해왔네요"
181633326,"더 스팟 패뷸러스카페,디저트",,,자리도 많아서 여러 명이 와서 편하게 이야기하다 가기 좋아씁니당.
181633326,"더 스팟 패뷸러스카페,디저트",,,자리도 많아서 여러 명이 와서 편하게 이야기하다 가기 좋아씁니당.
181633326,"더 스팟 패뷸러스카페,디저트",,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
181633326,"더 스팟 패뷸러스카페,디저트",,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
181633326,"더 스팟 패뷸러스카페,디저트",,,"저녁에 방문예약 없이 이용대기 시간 바로 입장친목아이, 지인・동료"
181633326,"더 스팟 패뷸러스카페,디저트",,,"저녁에 방문예약 없이 이용대기 시간 바로 입장친목아이, 지인・동료"
181633326,"더 스팟 패뷸러스카페,디저트",,,점심에 방문예약 없이 이용대기 시간 30분 이내데이트연인・배우자
181633326,"더 스팟 패뷸러스카페,디저트",,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트부모님
181633326,"더 스팟 패뷸러스카페,디저트",,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
181633326,"더 스팟 패뷸러스카페,디저트",,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
181633326,"더 스팟 패뷸러스카페,디저트",,,중국대사관앞 지나다가 바로 앞에 있는 커피숍이 지나다가우연히 들어와봤는데 대박!!!! 정말 멋진곳이에요.
181633326,"더 스팟 패뷸러스카페,디저트",,,중딩 딸이랑 명동왔다가 서치해서 찾아왔는데 디저트 맛있어 보이는게 많아요~1층에서 디저트사서 받고 음료주문해서 2층으로 올라가서 진동벨 받아서 음료2층에서 받음되네요~ 테이블이 많아서 사람도많고 조용한 대화는 쫌~
181633326,"더 스팟 패뷸러스카페,디저트",,,찾아온 보람이 있네요.....❤️ 뷰 맛집에 커피도 디저트도 맛있어요!! 디저트 종류들이 다양해서 뭘 먹어야할지 한참 고민했어요ㅠㅠ 버터바랑 바나나 푸딩 먹었는데 둘 다 지인짜 맛있습니당 가을에 특히 오기 좋은 카페 같아요! 단풍잎 물들때 다시 오고 싶네용💕
181633326,"더 스팟 패뷸러스카페,디저트",,,"휘낭시는 바삭+촉촉 조합이 딱 좋고, 버터바는 진득하면서 달콤해서 계속 손이 가더라구요. 무화과 티라미수는 무화과랑 크림이 잘 어울려서 은근 중독성 있는 맛!"
