가게ID,가게명,평점,날짜,리뷰내용
38405139,마복림할머니집떡볶이,,,2인분 떡볶이 주문하면 골고루 재료가 들어간 즉석떡볶이를 줍니다. 배가 고팠으면 볶음밥 먹었을텐데 양이 많아서 패스. 다음에는 도전 예정. ㅎㅎ
38405139,마복림할머니집떡볶이,,,40년 넘게 다니지만 늘 맛있고 과식하게 만드는곳입니다 다시 방문할게요
38405139,마복림할머니집떡볶이,,,딸이랑 볶음밥에 치즈추가까지 야무지게 먹고 아드님것도 포장~~^^ 맛있어요!!!
38405139,마복림할머니집떡볶이,,,"떡볶이 맛임 지금처럼 강렬하지 않고 부드러운 맛 입니다. 그래서 아이도 맛있게 먹었습니다. 기본에 충실한 떡볶이 인 것 같아요. 걸어서 5분 거리의 공영주차장에 주차 하시면 편합니다. 일부 발렛을 해주시는 매장이 있긴한데, 마복림할머니집은 주차장이 따로 없습니다. 하지만 공영주차장이 넓어 주차 걱정은 안하셔도 됩니다. 매니저님도 친절하시고, 생각처럼 오래 기다리지도 않았습니다. 다만 화장실이 좀 올드합니다. 남녀공용이라 조금 불편할 수도 있습니다. 그래도 떡볶이이는 여러번 먹어도 또 먹을 수 있을 것 같은 맛 입니다."
38405139,마복림할머니집떡볶이,,,떡볶이 명가~! 신당동 떡볶이 방문했어요. 차를 가지고 갔는데 알아서 근처에 주차(발렛)도 해주셔서 감사했네요~^^ 우리는 4명이라 4인메뉴 주문했는데 양이 딱 맞았어요~~ 치즈떡 추가와 밥2인분 볶아서 마무리 했습니다~
38405139,마복림할머니집떡볶이,,,"떡볶이 원조집답게 클래식한 맛이 인상 깊었어요! 쌀떡이라 쫀득쫀득했고, 라면·만두·쫄면까지 사리 푸짐~ 🍜"
38405139,마복림할머니집떡볶이,,,떡볶이를 별로 안 좋아하는데도 오게 되었습니다😊 사실 떡볶이는 어린 아이들이나 제 또래들만 많이 먹는 줄 알았는데 모든 연령층이 다 있어서 놀랐어요! 정말 오래된 유명 맛집 맞네욬ㅋㅋㅋㅋㅋ 그동안 자극적인 떡볶이에 익숙해져 있었는데 이렇게 기본에 충실한 떡볶이를 오랜만에 먹게 되서 좋습니다🩵💙 양도 정말 많아요!! 볶음밥까지 먹고 싶었는데 배가 불러서 못 먹고 갑니다🥲
38405139,마복림할머니집떡볶이,,,떡볶이에 떡이 너무 없다. 사리를 추가주문하니 떡이 또 너무 많고. 추가주문을 유도하려 떡을 적게주는듯. 옛날의 정은 없어진지 오래.
38405139,마복림할머니집떡볶이,,,"떡볶이타운 오랜만에 갔는데 마복림할머니집은 여전히 줄서서 먹네요. 주차 어떻게해야하나 당황했는데, 발렛 알아서 해주셔서 주차 편하게 이용할 수 있었어요. 대기줄 있어서 엄!청 오래 기다리는거 아닌가 했는데 생각보다 빠르게 이용할 수 있었어요. 즉석 떡볶이의 원조 뭐 이런걸 느끼고 올 수 있어서 좋았구요, 직원분들 모두 친절하셔서 아이랑 같이 방문해서 맛있게 잘 먹고 왔네요."
38405139,마복림할머니집떡볶이,,,마복림막내집만 다니다가 여기는 처음 갔는데 막내집이 더 맛있는 것 같아요. 매장 안이 아주 시원해서 더위 식히기 좋았어요.
38405139,마복림할머니집떡볶이,,,맛있어요. 오뎅도 맛있고 떡도 맛있어요. 줄이 엄청 길었는데 30분 조금 넘어 생각보다 일찍 들어가서 좋았어요. 은근한 소스 맛이 중독성이 있어요.
38405139,마복림할머니집떡볶이,,,비가 내리는 날 많은 분들이 줄을 서 계시네요 포장해서 바로 결제만 하고 가져옴
38405139,마복림할머니집떡볶이,,,서울가면 꼭 포장해서 가져오는~! 주차유도해주시는 직원분도 친절하게 안내해주셔서 편리하게 픽업하고 집에와서 맛있게 먹고 남은 양념엔 밥볶아 먹었어요 ㅎㅎ 맛있당
