가게ID,가게명,업종,평점,날짜,리뷰내용
1455595166,82올리언즈,양식,,,"6시 반쯤 도착했을 때 대기팀이 6팀 정도 있었는데, 근처에서 커피 한 잔 하고 오니 마감 시간 가까워져서 바로 입장할 수 있었어요. 마감 한 시간 전이라 그런지 한적하고 조용한 분위기에서 식사할 수 있어 좋았습니다."
1455595166,82올리언즈,양식,,,가게분위기도 너무 이쁘고 웨이팅없이 바로들어와서 좋았어요 라구프라이도 너무맛있었고 라자냐랑 퐁듀도 짱 맛있었습니다 🥹😋
1455595166,82올리언즈,양식,,,남자친구도 맛있게 잘 먹더라구요 :) 터키 플래터가 한정이래서 먹어봤는데 생각보다 든든하네요! 다음에 오면 다른 메뉴들도 도전해 봐야겠어요~ 할로윈 이벤트로 주는 펌킨파이도 맛있었어요🥰
1455595166,82올리언즈,양식,,,다양하게 이것저것 시켜봤는데 스테이크 굽기가 저는 레어가 좋은데 월던으러 나왔던게 아쉬웠어요 굽기를 안물어 보시더라구요 그리고 뇨끼는 짭짤한건줄 알았는데 달달한 디저트 같은 느낌이었구요 맥엔치즈랑 라쟈냐는 개인적으로 맛있었어요~~ 그리고 빙고 하면 주는 키링 너무 귀여웠어요 ~~ 많이 파세요
1455595166,82올리언즈,양식,,,단짠단짠 맛있어요 ^^ 분위기도 밝고 음식도 빠르게 잘 나와요
1455595166,82올리언즈,양식,,,두번째 방문. 이번엔 레몬에이드와 함께. 음식들이 약간 느끼느끼하지만 레모네이드랑 함께 먹으니 좋으네요
1455595166,82올리언즈,양식,,,라자냐좋아해서 찾아왔는데 라자냐도 맛있고 커리도리아 너무 맛있어요!
1455595166,82올리언즈,양식,,,맛도 뛰어난데 특별한 메뉴가 있는 것도 너무 좋아요!!!!! 분위기도 좋아서 데이트 할 때도 소개팅 할 때도 강추에요...!
1455595166,82올리언즈,양식,,,맛없없조합😋 주기적으로 생각나는 맛이에요 퇴근후 동료들과 수다떨면서 맛있게 먹었습니다. 미리 꼭 예약하고 가시는 것을 추천드려요
1455595166,82올리언즈,양식,,,맥앤치즈 풍성하고 진한 크림 맛이 너무 좋았습니다 💯 ❣️ 뇨끼. 코운슬로 다 맛있었고 친절하셔서 더욱 기분 좋은 식사 시간이 되었어요!
1455595166,82올리언즈,양식,,,맥앤치즈가 찐이예요 너무 맛잇어요... 천원 추가로 빵추가 따끈따근 ㅠㅠ 브리또 감튀도 맛잇고 뇨끼는 쫀뜩하면서 콘소메 치즈 퐁듀에 찍어서 먹어요
1455595166,82올리언즈,양식,,,몬테크리스토는 겉은 바삭하고 안은 촉촉해서 정말 만족스러웠어요. 치즈와 햄의 조화가 딱 좋았고 달콤한 딸기잼과도
1455595166,82올리언즈,양식,,,부채살 스테이크가 넘 부드러워서 많이 먹었어요! 빠네 파스타도 일반적인 크림 아니어서 맛있었어요 ~~~ 글구 할로윈 이벤트 하셔서 펌킨 케이크도 받았어요 이것도 너무 달지 않고 맛났어요! 담에 또올게용!
1455595166,82올리언즈,양식,,,"분위기도 좋도, 음식도 좋고, 찐 맛집입니다. 특히 뇨끼는 무조건 시켜야해요! 입과 눈이 즐거운 82올리언즈, 가격도 합리적이라 양식 좋아하는 분들이라면 꼭 가보길 추천합니다!"
1455595166,82올리언즈,양식,,,생각한 것보다 더 맛있었고 살짝 느끼할 때마다 볼케이노 맥 앤 치즈가 살짝 매콤해서 킥으로 먹기 좋았어요!
1455595166,82올리언즈,양식,,,"아이들에게 선택권 주고 고르했는데 다 맛있네요^^ 비주얼도 좋고요~ 일요일 오후라 그런지 힙지로 나들이 나온 분들이 많네요^^ 매장 배경음악도 좋았고, 직원분들 친절하신 것도 인상에 남아요🥰💕 가족들 잘 먹는 모습 지켜보는 것도 흐믓했네요😋🎶🤗✨️ 다른 메뉴도 맛보고 싶어서 재방문각이네요👍🤭"
1455595166,82올리언즈,양식,,,"안녕하세요 고객님 82올리언즈입니다. 어제 홀을 보면서, 고객님께서 정성스레 사진 찍어주셨던 게 기억에 많이 남아요. 덕분에, 찰나의 순간이지만 따뜻함도 느꼈습니다. 이렇게나 예쁜 82올리언즈의 순간을 남겨 주셔서 너무나 감사합니다. 다름이 아니라, 고객님께 감사함을 표현 드리고 싶어서 톡톡으로 문의 한 번만 부탁드려도 될까요? 실례가 될 수 있는 말씀이지만, 꼭 한 번 인연이 다시 닿을 수 있으면 좋겠습니다!"
1455595166,82올리언즈,양식,,,양식이 생각나던중에 들어왔는데 메뉴들이 맛있고 양이 충분합니다
1455595166,82올리언즈,양식,,,"여전히 가게 분위기 좋고, 음식퀄도 좋았어요, 맛은 당연히 있었고, 비쥬얼도 좋았습니다."
1455595166,82올리언즈,양식,,,연휴 전용 터키 플래터 메뉴가 있어서 맛있게 먹었어요!! 도리아도 시켰는데 너무 맛있었고 리뷰이벤트로 라구포테이토를 주셨는데 이벤트로 받은 것같지 않게 너무 맛있었어요 땡스기빙데이라고 펌킨파이도 주셨어요 여기 오길 너무 잘했다고 생각했습니다. 인테리어도 좋았고 직원 분들도 친절했습니다
1455595166,82올리언즈,양식,,,"예쁜 사진들과 정성 가득한 후기들 너무너무 감사합니다!! ꒰ ⑅ ᵕ ༚ ᵕ ꒱ ♡ 고객님께 소중한 추억과 맛있는 맛들을 전달해드린 거 같아 더할나위 없이 기뻐요!! 좋은 재료로 맛있는 맛들을 제공드릴 수 있도록 늘 최선을 다하고 있답니다 매콤한 시즈닝이 올라간 치킨커리도리아도 언제나 사랑받는 메뉴이기도 해요!! 저도 치즈를 너무 좋아하는 치즈 러버로서, 모든 메뉴를 치즈에 찍어먹는답니다 후후후 또간집에서 늘 가는 집이 될 수 있도록 최선을 다하겠습니당 너무너무 감사합니다!ꈍ .̮ ꈍ"
1455595166,82올리언즈,양식,,,운좋게 웨이팅없이 입장했고 이후에 웨이팅이 생기더라고요. 예약추천드립니다.
1455595166,82올리언즈,양식,,,음식나오자마자 포크를 꽂아버렸네요 기대이상입니다 추석연휴라 대기가 없는듯했지만 저희가 나갈쯤 대기가 쌓이네요 맥주빼고 음식은 합리적인가격에 너무맛났습니다 재방문 오케이~~~
1455595166,82올리언즈,양식,,,음식이 맛있고 메뉴가 다양해서 여러 음식 먹을 수 있어 좋았습니다~ 매장 분위기도 좋고 예뻐서 기념일이나 중요한 날에 오기 좋을 것 같아요.
1455595166,82올리언즈,양식,,,음식이 양이 많고 신선했어서 리뷰를 안 쓸 수가 없었네요ㅎㅎ 너무 맛있었습니다! 다음에 또 올게요~
1455595166,82올리언즈,양식,,,"음식이 전체적으로 맛있어요 몬테크리스토는 겉이 바삭해서 매력적이고, 맥앤치즈는 생각보다 맵긴한데 느끼함을 싹 날려줘서 좋았습니다. 명절 특선 플래터는 명절기간에만 판매하는게 아쉬울 정도로 좋았어요. 잘먹었습니다 🤤"
1455595166,82올리언즈,양식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목지인・동료
1455595166,82올리언즈,양식,,,점심시간에 왔는데 음식이 너무 맛있어요~~ 좋은 점심 선택이었습니다 ㅎㅎ
1455595166,82올리언즈,양식,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1455595166,82올리언즈,양식,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1455595166,82올리언즈,양식,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트친구
1455595166,82올리언즈,양식,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상아이, 부모님"
1455595166,82올리언즈,양식,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목친구
1455595166,82올리언즈,양식,,,"점심에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자, 친구"
1455595166,82올리언즈,양식,,,추석을 기념하기 위해 갔는데 플래터 구성도 알차고 직원분들도 친절하셔서 좋았습니다
1455595166,82올리언즈,양식,,,충무로에서 공연보고 아이랑 같이 올만한곳 찾아왔는데 대만족이에요
1455595166,82올리언즈,양식,,,"터키 플래터가 정말 맛있었어요!!! 양도 푸짐하고 소스랑 재료랑 조합도 넘 잘 어울리더라구요ㅎㅎ 맥앤치즈도 매콤한 맛이 은은하게 나서 느끼하지 않게 맛있게 먹었습니다🙌 이벤트로 주신 펌킨파이까지 완벽,,,"
1455595166,82올리언즈,양식,,,평소에 양배추를 엄청 좋아해서 당연하게 시킨건데 생각보다 가격대비 양이 많고 맛있어요!!! 근래먹은 코울슬로 중 젤 맛있게 먹었어요
1455595166,82올리언즈,양식,,,항상 대기줄이 많았는데 오늘은 운 좋은지 여유있게 3명이 5개 주문
