가게ID,가게명,평점,날짜,리뷰내용
1874918103,그린플레이트 신내점,,,"2번째 방문이에요. 어머님께서 육회 샐러드를 너무 잘드시고 맛있다고 여러번 말씀하시네요😊 친절하고, 남녀노소 좋아할 음식이 종류별로 되어 있어서 가족 모임 하기 딱 ! 좋은곳이에요~ 6명이 가도 크게 부담스럽지 않은 가격에 다양한 종류를 선택해서 먹을수 있어서 더 만족스러워요^^ 다음에 또 갈께요~"
1874918103,그린플레이트 신내점,,,3번째 방문같은데 처음 네이버 예약하고 갔습니다. 애들 방방 뛰고 씨끄럽게 떠들어도 방치하는 테이블 피하려고 따로 부탁했는데 약간 독립적인 테이블로 해주셔서 감사합니다~ 덕분에 부모님과 그나마 조용히 잘 먹고왔어요
1874918103,그린플레이트 신내점,,,"가끔 가는데, 메뉴도 종종 바뀌고 그래도 핵심적으로 맛은 변하지 않고 꾸준합니다 가격도 합리적인편"
1874918103,그린플레이트 신내점,,,갈때마다 항상 맛있게 잘먹고 있어요ㅎㅎ 주차장도 잘되어 있어서 접근성도 좋고 음식들도 다 신선하고 좋아요~
1874918103,그린플레이트 신내점,,,고기가 무한리필은 아니지만 그래도 야채도 다양하게 있고 월남쌈도 있어서 좋아요. 그리고 그냥 일반 음식들도 꽤나 다양하게 있어서 맛있습니다.
1874918103,그린플레이트 신내점,,,고기질도 좋고 재료도 신선하니 이곳 제일 장사잘되고 늘 줄서있는 맛집이예요😁
1874918103,그린플레이트 신내점,,,고딩인 두 아들은 아직 샤브샤브를 좋아하거나 월남쌈을 딱히 맛있어 하지 않다보니 만족도가 애슐리퀸즈 보다 못했다고 하는데 나머지6명은 적당한 수준의 사이드메뉴와 구운고기 보다는 샤브샤브 형태의 고기가 가장 건강한 식사법이라는 것을 알기에 그 어떤 뷔페보다 만족도가 높았어요^^♡
1874918103,그린플레이트 신내점,,,그린플레이트 신내점은 신선한 재료로 다양한 음식을 맛볼 수 있어 만족스러웠어요.
1874918103,그린플레이트 신내점,,,급 방문하고자 하여 전화드렸는데 친절하게 응대해주시고 주말이라 예약이 안될 것 같았는데 자리 마련해주시고 전화주셔서 너무 감사했습니다.
1874918103,그린플레이트 신내점,,,"내일 건강검진만 아니면 많이 먹었을꺼 같은데, 아쉬워요 ㅠㅠ 신선하고 맛 좋네요 ^^"
1874918103,그린플레이트 신내점,,,너무 맛있게 야무지게 먹었어요 ㅠㅠ 재료 하나하나 다 신선하고! 어느것하나 맛없는게 없네용!
1874918103,그린플레이트 신내점,,,다들 맛있게 먹어서 기분도 좋고 또 가격또한 비싸지도 않고 좋고 음식도 종류도 많고. 먹을거도 너무 많고 진짜 가격비해 너무 좋아요.장오님도 진짜 맛있게 드셨다고 얘기하셔서 기분이 좋았습니다.저희 딸도 어지간히 먹지 않는데 여기에서는 먹을 음식이 많아서 좋다구 하네요.딸이 커피 맛있다구 해서 먹어봤는데 진짜 맛있었어요. 주말이라 차가 밀려서 20분정도 늦게 도착한다고 가게에 전화했더니 이무 불편함없이 전천히 오시라고 사장님이 친절히 얘기해주세서 고마웠습니다.
1874918103,그린플레이트 신내점,,,다만 사람이 너무 많아서 예약 후 방문은 필수입니다!
1874918103,그린플레이트 신내점,,,무료주차 가능한점. 샤브샤부와 다양한메뉴뷔페 넘 좋아서 부모님 모시고 또 오려고 합니다!
1874918103,그린플레이트 신내점,,,뭐하나 빼놓을수없이 맛있는 곳이라 자주방문하고있어요. 특히 일식집도 이겨버린 이 가지튀김이 숨겨진메뉴인데요:) 샤브샤브 야채도 신선하고 좋아요!
1874918103,그린플레이트 신내점,,,벌써 5번째 방문이네여 ㅎㅎ 갈때마다 맛있게 먹고와요 저번에 화요일 휴무인거 깜빡하고 방문했다가ㅜㅜ발길 돌렸었는데 ㅎㅎ 오늘 런치로 배부르게 먹고왔어요~ 음식 퀄리티 좋아여 맛있어여 야채들도 신선하고~~ 가성비 최고❤️
1874918103,그린플레이트 신내점,,,"뷔페 코너에 샐러드, 핫푸드 가짓수가 정말 많아서 다 먹고 오지 못했어요ㅋㅋ(가지튀김, 육회 샐러드 최고💕💕)"
1874918103,그린플레이트 신내점,,,"샐러드바가 종류 다양하네요. 먹다보니 정작 샤브샤브는 덜 먹었어요. 가지 튀김 먹어볼 만 하고, 크로플 구워서 커피 까지 마실 수 있어 더 좋네요"
1874918103,그린플레이트 신내점,,,"샐러드부터 떡볶이, 파스타, 피자, 과일, 디저트, 음료까지!!!! 뷔페 메뉴 구성도 진짜 좋아요🤗"
