가게ID,가게명,업종,평점,날짜,리뷰내용
1446022752,FEEL EAT 필릿 망우역본점,카페,,,가게가 아기자기하고 예뻐요 파블로바도 주문 즉시 만들어 주시고 맛도 최고 굿굿
1446022752,FEEL EAT 필릿 망우역본점,카페,,,가게가 아기자기하고 예뻐요 파블로바도 주문 즉시 만들어 주시고 맛도 최고 굿굿
1446022752,FEEL EAT 필릿 망우역본점,카페,,,가게분위기도 좋고 인테리어도 심플하고 깔끔하고 사장님 사모님이 친절하고 친구랑 예약없이 왔는데도 대화하기도좋고 케이크랑 음료수도 다양하게 팔아서 좋아용
1446022752,FEEL EAT 필릿 망우역본점,카페,,,거리가 조금 멀긴 한데 진짜 케이크 디자인도 이쁘고 맛도 좋아서 꼭 다시 올거에요!!
1446022752,FEEL EAT 필릿 망우역본점,카페,,,거리가 조금 멀긴 한데 진짜 케이크 디자인도 이쁘고 맛도 좋아서 꼭 다시 올거에요!!
1446022752,FEEL EAT 필릿 망우역본점,카페,,,달달한게 땡겨서 먹으러 왔는데 케이크 맛있네용 갈증났는데 너무 시원하고 좋았어요😁
1446022752,FEEL EAT 필릿 망우역본점,카페,,,디자인이 너무 이쁘고 맛있어요! 직원분들도 다들 너무 친절하십니당🩷
1446022752,FEEL EAT 필릿 망우역본점,카페,,,레몬빅토리아케이크6.7: 깔끔하고 산뜻한 맛.
1446022752,FEEL EAT 필릿 망우역본점,카페,,,맛있고 가성비로 파블로바를 먹을 수있어서 조앗음!! ☆*:.｡. o(≧▽≦)o .｡.:*☆
1446022752,FEEL EAT 필릿 망우역본점,카페,,,매장 청결하고 좋아요💙 상봉망우에 사시면 방문하시는걸 추천해요~~
1446022752,FEEL EAT 필릿 망우역본점,카페,,,매장도 너무 시원하고~~ 와이프랑 왔는데 인테리어도 너무 이뻐요!! 특별한 케이크도 많아서 데이트로 강츄입니다☺️☺️
1446022752,FEEL EAT 필릿 망우역본점,카페,,,메뉴가 다양하고 좋아요. 파블로바도 주문 즉시 만들어주시는데 너무 예뻐요
1446022752,FEEL EAT 필릿 망우역본점,카페,,,무화과 파블로바 메뉴가 너무 특이해서 먹었는데 맛있어요! 머랭쿠키를 쫀득하게 먹는기분💓 커피도 맛있고 사장님이 너무너무 친절하세요😘 다음에 다른 케이크 메뉴들도 먹으러 와야겠어요❣️❣️
1446022752,FEEL EAT 필릿 망우역본점,카페,,,분위기 상큼하고 맛있는 문에 들어서자마자 빵냄새랑 디저트향이 솔솔 ~~ 분위기 좋고 다 맛있어요🔥
1446022752,FEEL EAT 필릿 망우역본점,카페,,,분위기 상큼하고 맛있는 문에 들어서자마자 빵냄새랑 디저트향이 솔솔 ~~ 분위기 좋고 다 맛있어요🔥
