가게ID,가게명,평점,날짜,리뷰내용
1446022752,FEEL EAT 필릿 망우역본점,,,가게가 아기자기하고 예뻐요 파블로바도 주문 즉시 만들어 주시고 맛도 최고 굿굿
1446022752,FEEL EAT 필릿 망우역본점,,,가게가 아기자기하고 예뻐요 파블로바도 주문 즉시 만들어 주시고 맛도 최고 굿굿
1446022752,FEEL EAT 필릿 망우역본점,,,가게분위기도 좋고 인테리어도 심플하고 깔끔하고 사장님 사모님이 친절하고 친구랑 예약없이 왔는데도 대화하기도좋고 케이크랑 음료수도 다양하게 팔아서 좋아용
1446022752,FEEL EAT 필릿 망우역본점,,,거리가 조금 멀긴 한데 진짜 케이크 디자인도 이쁘고 맛도 좋아서 꼭 다시 올거에요!!
1446022752,FEEL EAT 필릿 망우역본점,,,거리가 조금 멀긴 한데 진짜 케이크 디자인도 이쁘고 맛도 좋아서 꼭 다시 올거에요!!
1446022752,FEEL EAT 필릿 망우역본점,,,달달한게 땡겨서 먹으러 왔는데 케이크 맛있네용 갈증났는데 너무 시원하고 좋았어요😁
1446022752,FEEL EAT 필릿 망우역본점,,,디자인이 너무 이쁘고 맛있어요! 직원분들도 다들 너무 친절하십니당🩷
1446022752,FEEL EAT 필릿 망우역본점,,,레몬빅토리아케이크6.7: 깔끔하고 산뜻한 맛.
1446022752,FEEL EAT 필릿 망우역본점,,,맛있고 가성비로 파블로바를 먹을 수있어서 조앗음!! ☆*:.｡. o(≧▽≦)o .｡.:*☆
1446022752,FEEL EAT 필릿 망우역본점,,,매장 청결하고 좋아요💙 상봉망우에 사시면 방문하시는걸 추천해요~~
1446022752,FEEL EAT 필릿 망우역본점,,,매장도 너무 시원하고~~ 와이프랑 왔는데 인테리어도 너무 이뻐요!! 특별한 케이크도 많아서 데이트로 강츄입니다☺️☺️
1446022752,FEEL EAT 필릿 망우역본점,,,메뉴가 다양하고 좋아요. 파블로바도 주문 즉시 만들어주시는데 너무 예뻐요
1446022752,FEEL EAT 필릿 망우역본점,,,무화과 파블로바 메뉴가 너무 특이해서 먹었는데 맛있어요! 머랭쿠키를 쫀득하게 먹는기분💓 커피도 맛있고 사장님이 너무너무 친절하세요😘 다음에 다른 케이크 메뉴들도 먹으러 와야겠어요❣️❣️
1446022752,FEEL EAT 필릿 망우역본점,,,분위기 상큼하고 맛있는 문에 들어서자마자 빵냄새랑 디저트향이 솔솔 ~~ 분위기 좋고 다 맛있어요🔥
1446022752,FEEL EAT 필릿 망우역본점,,,분위기 상큼하고 맛있는 문에 들어서자마자 빵냄새랑 디저트향이 솔솔 ~~ 분위기 좋고 다 맛있어요🔥
1446022752,FEEL EAT 필릿 망우역본점,,,쉬는 날이라 그동안 가보고 싶었던 필릿에 왔어요! 들어오자마자 깜짝 놀랬던건 감각적인 분위기에 중년 사장님이 계셔서 놀랬어요! 사장님 무뚝뚝해 보이시면서도 친절하시고 무화과 케이크에 토핑 낙낙하니 엄청 많고 부드럽고 너무 맛있네요👍🏻😋 인위적인 단맛이 아니고 과일의 은은한 단맛 너무 좋아요🥰
1446022752,FEEL EAT 필릿 망우역본점,,,"여기 파블로바는 처음 먹어봤는데, 겉바속쫀(내가 원래 알고 있는 파블로바의 중요 특징)이 아닌게 조금은 아쉽지만, 그래도 요거트 크림인게 잘 어울리고, 샤인머스켓도 참 많이 들어있음."
1446022752,FEEL EAT 필릿 망우역본점,,,"여기 파블로바는 처음 먹어봤는데, 겉바속쫀(내가 원래 알고 있는 파블로바의 중요 특징)이 아닌게 조금은 아쉽지만, 그래도 요거트 크림인게 잘 어울리고, 샤인머스켓도 참 많이 들어있음."
1446022752,FEEL EAT 필릿 망우역본점,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상, 나들이혼자"
1446022752,FEEL EAT 필릿 망우역본점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상친척・형제
1446022752,FEEL EAT 필릿 망우역본점,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
1446022752,FEEL EAT 필릿 망우역본점,,,저번에 배달로 복숭아 파블로바 먹고 너무 맛있어서 직접 매장에 왔어요! 매장 분위기 너무 좋네요. 집근처에 파블로바 카페 생긴거 너무 좋아여!!!👍🏻👍🏻
1446022752,FEEL EAT 필릿 망우역본점,,,저희 필릿을 찾아주시고 정성스런 리뷰 남겨주셔서 감사합니다😍 앞으로도 맛있는 디저트 많이 준비할테니 자주 들러주세요🥰
1446022752,FEEL EAT 필릿 망우역본점,,,전메뉴 다먹어볼만큼 맛집입니다. 특유의 계란 비린내도 안나고 진짜 맛있어요
1446022752,FEEL EAT 필릿 망우역본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장가족모임친척・형제
1446022752,FEEL EAT 필릿 망우역본점,,,"점심에 방문예약 없이 이용대기 시간 바로 입장데이트, 친목친구"
1446022752,FEEL EAT 필릿 망우역본점,,,"점심에 방문예약 없이 이용대기 시간 바로 입장데이트, 친목친구"
1446022752,FEEL EAT 필릿 망우역본점,,,"점심에 방문예약 없이 이용대기 시간 바로 입장데이트, 친목친구"
1446022752,FEEL EAT 필릿 망우역본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1446022752,FEEL EAT 필릿 망우역본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1446022752,FEEL EAT 필릿 망우역본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트친구
1446022752,FEEL EAT 필릿 망우역본점,,,점심에 방문예약 없이 이용대기 시간 바로 입장데이트친구
