가게ID,가게명,평점,날짜,리뷰내용
18885643,바다회집생선회,,,"1. 네이버에 있는 메뉴 정보 (3-4만원 회)를 보고 갔으나, 모듬회 소자 7만원부터 시작. 대부분 8-10만원짜리 소자 회들로 구성. 뭔가 잘못 본 건가 싶어서 그냥 먹음. 모듬회는 무엇으로 구성되냐고 물어보니, 광어, 우럭에 하나 뭐 더 준다고함..."
18885643,바다회집생선회,,,"1. 네이버에 있는 메뉴 정보 (3-4만원 회)를 보고 갔으나, 모듬회 소자 7만원부터 시작. 대부분 8-10만원짜리 소자 회들로 구성. 뭔가 잘못 본 건가 싶어서 그냥 먹음. 모듬회는 무엇으로 구성되냐고 물어보니, 광어, 우럭에 하나 뭐 더 준다고함..."
18885643,바다회집생선회,,,"1. 네이버에 있는 메뉴 정보 (3-4만원 회)를 보고 갔으나, 모듬회 소자 7만원부터 시작. 대부분 8-10만원짜리 소자 회들로 구성. 뭔가 잘못 본 건가 싶어서 그냥 먹음. 모듬회는 무엇으로 구성되냐고 물어보니, 광어, 우럭에 하나 뭐 더 준다고함..."
18885643,바다회집생선회,,,그래도 영업시간이 있어서 갔는데 비오니 빨리 가라는 사장님 넘 하시네요
18885643,바다회집생선회,,,두툼하고 싱싱하고 언제 먹어도 너무 맛있네요^^ 스끼다시도 잘나오는데 가성비도 최고입니다. 계속 이렇게 운영되었으면 좋겠습니다~
18885643,바다회집생선회,,,두툼하고 싱싱하고 언제 먹어도 너무 맛있네요^^ 스끼다시도 잘나오는데 가성비도 최고입니다. 계속 이렇게 운영되었으면 좋겠습니다~
18885643,바다회집생선회,,,두툼하고 싱싱하고 언제 먹어도 너무 맛있네요^^ 스끼다시도 잘나오는데 가성비도 최고입니다. 계속 이렇게 운영되었으면 좋겠습니다~
18885643,바다회집생선회,,,"리뷰 1,078사진 1,189팔로워 8"
18885643,바다회집생선회,,,묵동에서 오래되고 동네 맛집으로 유명한 곳입니다. 오랜만에 왔는데 변함없이 양도 많고 풍성해요!
18885643,바다회집생선회,,,미역국도 회덮밥 나온 그릇과 같은 사이즈로 나오고.. 간재미찜? 가오리찜? 암튼 것도 넘 맛났구요.. 자주 갈 것 같아요^^
18885643,바다회집생선회,,,생선 머리 없어서 동태 사서 끓이셨다는데 다시 끓여도 시간 너무 지났고 회생기미 없어서 걍 나왔어요.
18885643,바다회집생선회,,,생선 머리 없어서 동태 사서 끓이셨다는데 다시 끓여도 시간 너무 지났고 회생기미 없어서 걍 나왔어요.
18885643,바다회집생선회,,,생선 머리 없어서 동태 사서 끓이셨다는데 다시 끓여도 시간 너무 지났고 회생기미 없어서 걍 나왔어요.
18885643,바다회집생선회,,,스끼다시가 정말 정말 잘 나옵니다. 생선만 선택하면 풀코스로 쭉쭉 나와요. 마치 통영 다찌 같은 느낌
18885643,바다회집생선회,,,"싱싱한 야채가 푸짐하고, 회도 아주 많아서 좋아하는 곳아에요."
18885643,바다회집생선회,,,"싱싱한 야채가 푸짐하고, 회도 아주 많아서 좋아하는 곳아에요."
18885643,바다회집생선회,,,"싱싱한 야채가 푸짐하고, 회도 아주 많아서 좋아하는 곳아에요."
18885643,바다회집생선회,,,"여기만 무려 4번째. 일요일이라 그런지 3시쯤에 갔는데도 사람이 많네요! 스끼다시는 변함 없이 너무 맛있고, 회도 두툼하니 쫄깃하고 식감이 너무 좋습니당!!"
18885643,바다회집생선회,,,"저녁에 방문예약 없이 이용대기 시간 10분 이내 나들이연인・배우자, 친척・형제"
18885643,바다회집생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
18885643,바다회집생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
18885643,바다회집생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
18885643,바다회집생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
18885643,바다회집생선회,,,"저녁에 방문예약 없이 이용대기 시간 바로 입장일상친구, 아이"
18885643,바다회집생선회,,,저녁에 방문예약 없이 이용대기 시간 바로 입장친목친구
18885643,바다회집생선회,,,저녁에 방문예약 후 이용대기 시간 바로 입장회식지인・동료
18885643,바다회집생선회,,,저녁에 방문포장·배달 이용대기 시간 30분 이내일상혼자
18885643,바다회집생선회,,,저녁에 방문포장·배달 이용대기 시간 30분 이내일상혼자
18885643,바다회집생선회,,,저녁에 방문포장·배달 이용대기 시간 30분 이내일상혼자
18885643,바다회집생선회,,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상혼자
18885643,바다회집생선회,,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상혼자
18885643,바다회집생선회,,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상혼자
18885643,바다회집생선회,,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상혼자
18885643,바다회집생선회,,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상혼자
18885643,바다회집생선회,,,저녁에 방문포장·배달 이용대기 시간 바로 입장일상혼자
18885643,바다회집생선회,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상, 가족모임부모님, 친척・형제"
18885643,바다회집생선회,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상, 가족모임부모님, 친척・형제"
18885643,바다회집생선회,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상, 가족모임부모님, 친척・형제"
18885643,바다회집생선회,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
18885643,바다회집생선회,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
18885643,바다회집생선회,,,"점심에 방문예약 없이 이용대기 시간 바로 입장일상연인・배우자, 아이"
18885643,바다회집생선회,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
18885643,바다회집생선회,,,점심에 방문예약 없이 이용대기 시간 바로 입장일상친구
18885643,바다회집생선회,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목연인・배우자
18885643,바다회집생선회,,,"좋은 글만 그동안 남기고 단골이라 기분좋게 갔다가 기분상해 근처 다른 회집 찾아 가서 싱싱한 회 먹었어요. 뭐 어쩌다가 회상태가 푸석할수는 있어요. 근데 그래도 단골 소비자에게 다시는 안볼 사람처럼 좋지 않은 말투로 ""손님이 너무 까다롭다. 이런 적 처음이다""라고 얼굴면전에 그러고 나갈때까지 뒤통수에 나쁜 말로 뭐라하시는데 수 년을 회집에 들인 돈이 아깝네요. 더 할말은 많지만 그건 다닌 곳의 예의로 여기서 그만할게요. 저희는 이제 안갑니다."
18885643,바다회집생선회,,,회가 도톰하고 맛납니다. 매운탕도 포함가격이고..반찬도 알차게 나오구요.. 이제 단골 됐어요.
18885643,바다회집생선회,,,횟감이 신선하고 스끼다시도 맛있고 직원분들도 엄청 친절하십니다
1511101738,신요아케 상봉역점,,,근처에 횟집이 맛난 곳이 없는데 진짜 사시미 드시고 싶어서 오시거나 먹거나 데이트로 너무 추천합니다😆테이블도 6개고 공간이 넓어 모임장소로도 좋고 특별한날 기념일 챙기기도 너무 좋을 것 같아요!✨다음에 또 모임시 예약할 것 같습니당🙌
1511101738,신요아케 상봉역점,,,근처에 횟집이 맛난 곳이 없는데 진짜 사시미 드시고 싶어서 오시거나 먹거나 데이트로 너무 추천합니다😆테이블도 6개고 공간이 넓어 모임장소로도 좋고 특별한날 기념일 챙기기도 너무 좋을 것 같아요!✨다음에 또 모임시 예약할 것 같습니당🙌
1511101738,신요아케 상봉역점,,,다음에 이 근처 오게된다면 꼭 다시한번 방문하고싶습니다
1511101738,신요아케 상봉역점,,,다음에 이 근처 오게된다면 꼭 다시한번 방문하고싶습니다
1511101738,신요아케 상봉역점,,,다음에도 더 맛있고 즐거운 시간 되실 수 있도록 준비하겠습니다!”
1511101738,신요아케 상봉역점,,,다음에도 더 맛있고 즐거운 시간 되실 수 있도록 준비하겠습니다!”
1511101738,신요아케 상봉역점,,,동네에 살면서 처음 와봤어요! 후기가 좋아서 왔는데 대화하기도 좋고 사장님도 친절하고 무엇보다 음식이 너무 맛있어서 앞으로 멀리 안 가고 이자카야 가고 싶을땐 여기로 올 것 같아요 이런 가게 나만 알고 싶지만 눈물을 머금고 널리 널리 알려졌으면 좋겠네요 맛있게 먹고 갑니다 😋
1511101738,신요아케 상봉역점,,,동네에 살면서 처음 와봤어요! 후기가 좋아서 왔는데 대화하기도 좋고 사장님도 친절하고 무엇보다 음식이 너무 맛있어서 앞으로 멀리 안 가고 이자카야 가고 싶을땐 여기로 올 것 같아요 이런 가게 나만 알고 싶지만 눈물을 머금고 널리 널리 알려졌으면 좋겠네요 맛있게 먹고 갑니다 😋
1511101738,신요아케 상봉역점,,,맛있게 드셨고 사장님의 친절함까지 칭찬해주셔서 감사합니다! 고객님의 소중한 후기에 힘입어 항상 최고의 맛과 서비스로 보답할 수 있도록 최선을 다하겠습니다! 😊
1511101738,신요아케 상봉역점,,,맛있게 드셨고 사장님의 친절함까지 칭찬해주셔서 감사합니다! 고객님의 소중한 후기에 힘입어 항상 최고의 맛과 서비스로 보답할 수 있도록 최선을 다하겠습니다! 😊
1511101738,신요아케 상봉역점,,,맛있고 분위기도 좋아서 데이트로 딱이에요 직원분도 넘 친절하셔요!
1511101738,신요아케 상봉역점,,,맛있고 분위기도 좋아서 데이트로 딱이에요 직원분도 넘 친절하셔요!
1511101738,신요아케 상봉역점,,,맛있어서 자주와요 ㅎㅎ최고!! 맛있고 분위기 좋아요~~
1511101738,신요아케 상봉역점,,,맛있어서 자주와요 ㅎㅎ최고!! 맛있고 분위기 좋아요~~
1511101738,신요아케 상봉역점,,,매월 정기적으로 오는데요. 계절 생선으로 숙성도 잘 되어 있고 오늘은 시메사바 너무 맛있네요. 참치를 서비스로 주신 감테에 싸서 먹으니... 음..강남 일식집 부럽지 않네요.
1511101738,신요아케 상봉역점,,,매월 정기적으로 오는데요. 계절 생선으로 숙성도 잘 되어 있고 오늘은 시메사바 너무 맛있네요. 참치를 서비스로 주신 감테에 싸서 먹으니... 음..강남 일식집 부럽지 않네요.
1511101738,신요아케 상봉역점,,,"모듬회 구성도 다양하고, 소소하게 얘기나누며 먹기에 딱 좋아요💚💚 상봉에 이런곳이 있다니 상봉러는 그저 행복함당"
