가게ID,가게명,업종,평점,날짜,리뷰내용
1100141122,7th Door한식,한정식,,,"Master Chef, Mr. D.C. Kim and his excellent staffs are ready to serve the national best creative dishes. In deed, the guests can enjoy the various dishes with all 5 senses, firstly with eyes to taste."
1100141122,7th Door한식,한정식,,,ㄷ자 닷지형 테이블로만 되어 있습니다. 별도의 룸은 없는 것으로 알고 있습니다. 따라서 수용인원이 많지는 않아서 주말은 예약 압박이 있을 수도 있어요.
1100141122,7th Door한식,한정식,,,김대천 셰프님이 운영하시는 곳으로 한국의 발효와 숙성 음식을 주제로 하는 한식 파인 다이닝 레스토랑인데요. 2021년부터 4년 연속 미쉐린 1 스타 선정과 함께 아시아 50 베스트 레스토랑에 이름을 올렸습니다.
1100141122,7th Door한식,한정식,,,너무 만족했어요! 재료에 일반적으로 쓰이는 익숙한 소스 맛이 아니라 참신해서 더욱 좋았습니다.
1100141122,7th Door한식,한정식,,,"노키즈 식당입니다. 색다른 맛이 많았고, 바로 앞에서 준비하는 모습을 볼 수 있어 더 좋았습니다."
1100141122,7th Door한식,한정식,,,랍스터구이의 시트러스청소스가 킥이었다❤️ 옥돔구이는 비늘 바삭하게 튀겨낸게 한수😋 그리고 아이스크림 너무너무 맛있어🥹 서버분 센스도 좋고 유쾌 친절하셨음
1100141122,7th Door한식,한정식,,,"생일날 방문했는데 너무 좋았어요! 음식 준비하는거 바로 앞에서 볼수 있는것도 좋았고 음식 맛이야 굳이 언급하지 않아도 완벽✨ 빵, 잿방어, 랍스터, 채끝덧살, 멸치국수 등 다 맛있어요. 사진을 다 못 찍어서 아쉽;ㅁ; 생일이라고 귀여운 체리로 만든 케이크까지... 눈물 찔끔 감동 받았어요 :) 다음엔 디너로 먹어보고 싶어요"
1100141122,7th Door한식,한정식,,,아뮤즈부쉬는 인상적이었어요 그 외에는 크게 기억에 남는 것이 없어 좀 아쉽습니다
1100141122,7th Door한식,한정식,,,웨이터분들도 너무 친절하셔서 행복했습니다❤️
1100141122,7th Door한식,한정식,,,"점심에 방문예약 후 이용대기 시간 바로 입장데이트, 기념일연인・배우자"
1100141122,7th Door한식,한정식,,,좌석은 바 형식이에요 오픈 주방같은구조지만 실제요리는 뒤쪽이고 앞쪽에서는 플레이팅만하시는데 음식담기전 깨끗하게 닦으시는것도 보이고 괜찮습니다 좌석에 가방놓을곳이없어서 등쪽에두고 식사해서 좀 불편했네요
1100141122,7th Door한식,한정식,,,진짜 예술이죠~!!! 정성이 듬뿍 담긴 정갈하고 하나 같이 풍미 좋은 음식들에 눈도 코도 입도 즐거운 시간이었어요. 사진엔 무난해 보이는 식기들인데 이 외 식기들은 정말 작품들이었어요.
37882999,The Round중식당,중식,,,1시 예약했는데.. 북경오리 30분 후에 나온 것 빼고는 괜찮았습니다. 남자 직원분 친절하세요!
37882999,The Round중식당,중식,,,가격대는 있지만 음식이 다 너무 맛있어서 특별한 날 가기 좋을것같아요
37882999,The Round중식당,중식,,,김쉐프님은 여전히 매장을돌며 인사하고 친절하세요
37882999,The Round중식당,중식,,,남자친구 생일기념으로 방문했습니다~ 분위기도 너무 좋고 음식도 너무 맛있었네요. 다만 직원분들이 분위기와 맞지 않게 시니컬 하달까요.. 추가 주문할때마다 눈치가 조금 보였어요. 그거 빼곤 다 좋았습니다.
37882999,The Round중식당,중식,,,늘 친절하고 우아한 서비스로 맞아주는 곳. 간만에 미리 북경오리 주문해서 와인이랑 같이 즐겼어요.
37882999,The Round중식당,중식,,,"다만, 발렛이 너무 불친절해서 깜짝 놀랬어요. 손님들 모시고 갈 순 없을 듯. 발렛비 1만원인데, 말해도 답도 않고, 손으로 까딱까딱 하고, 인사도 없네요. 벙어리이신가 아니면 어쩜 이러죠? 다신 가고 싶지 않아요."
37882999,The Round중식당,중식,,,"단품들 가격대가 좀 있긴 하지만, 모임하기도 좋고 콜키지도 프리라 종종 찾게 되네요. 너무 캐주얼하지도 너무 포멀하지도 않은게 매력인듯. 베이징덕 익힘 정도도 오버쿡 되지 않게 잘 맞춰주셔서 맛있게 먹었습니다. 베이징덕 기본으로 깔고 이것저것 여러개 주문하시는걸 추천드립니다."
37882999,The Round중식당,중식,,,런치 N코스 먹었습니다. 가격대비 구성이 좋았어요. 맛도 있고요. 그리고 무엇보다 직원 분들이 무척 친절하십니다.
37882999,The Round중식당,중식,,,런치코스 A 먹었는데 요리가 다 맛있고 정갈하네요... 양념이 강하지 않고 재료 본연의 맛을 살려 맛있었습니다... 탕수육도 있었는데 사진에서 빠졌네요 분위기가 조용해서 지인과의 모임 장소로 추천합니다
37882999,The Round중식당,중식,,,"리뷰 1,176사진 5,647팔로워 605테마 28"
37882999,The Round중식당,중식,,,밤에 방문예약 없이 이용대기 시간 10분 이내 친목친구
37882999,The Round중식당,중식,,,베이징덕으로 유명한 더라운드. 역시 소문대로 베이징덕이 훌륭했어요. 구움이 적당해서 겉은 바삭하고 안쪽은 기름기로 촉촉한 껍질.. 너무 맛있었고요. 껍질로는 더라운드가 정말 최강이었어요. 문제는 탕수육이었는데.. 고기는 콩알만큼 들어있고 찹쌀이 너무 질겅거려서 씹기조차 힘들었습니다. 이건 좀 너무한거 아닌가 하는 생각.. 도저히 못먹겠어서 여자 셋이 반도 못먹고 남겼네요. 그래도 콜키지프리도 되고 베이징덕도 훌륭했으니 탕수육만 제하면 나름대로 만족스러운 식사였습니다.
37882999,The Round중식당,중식,,,북경오리 맛집이다. 단독건물이라 외관도 멋지다. 졸은 일 있을 때 이성이랑 같이 가면 좋을 듯 하다. 코스요리에 북경오리 하나 추가하면 성인 남성도 배가 빵빵하게 먹을 수 있다.
