가게ID,가게명,업종,평점,날짜,리뷰내용
1415555171,5412한식,한정식,,,"그런데 갓 나온 따끈따끈한 츄러스를 생각했는데 이미 식어있는 츄러스라 당황스러웠음. 이러면 굳이 기다려서 사먹을 필요가 없지🙄 딥초콜릿 츄러스에 크림 추가해서 총 9,000원. 굳이 방문해서 기다려서 사먹지는 않을듯."
1415555171,5412한식,한정식,,,다 존맛탱... 안주가 맛있어서 술까지 맛있어지는 마법
1415555171,5412한식,한정식,,,"마주보고 앉는 형태가 아니라 나란히 앉는 형태라 앞테이블과 자주 눈이 마주쳤고, 주변 사람들 대화 소리가 잘 들려서 무슨 얘기하는지도 다 알게되는..👀 그리고 화장실이 관리가 좀 안됐어서 황당했어요.. 그치만 음식은 맛있고 막걸리와 먹기에 양도 적당해서 재방문의사는 있습니다"
1415555171,5412한식,한정식,,,세가지 먹었는데 다 맛있었어요! 일찍 닫아서 아쉬워요~
1415555171,5412한식,한정식,,,양이 적은편이었지만 맛있었고 핑크 막걸리도 맛있었어요:) 또 와봐도 좋을것 같아요~
1415555171,5412한식,한정식,,,요즘 핫한 곳인지 웨이팅이 길어 테이크아웃으로 대기 신청했더니 3분만에 들어갔어요~ 시간 여유가 있었으면 안에서 따뜻하게 먹었어도 좋았을듯. 걸어가며 다소 급하게 먹었지만 맛은 좋았습니다👍🏻
1415555171,5412한식,한정식,,,웨이팅 걸었는데 서서먹는 곳이라 그런지 금방 빠졌어요! 츄러스 별로 안 좋아하는데 맛있게 먹었습니당
1415555171,5412한식,한정식,,,웨이팅은 힘들지만 언제나 100퍼 만족하는 곳이에요!! 바로 튀긴 츄러스는 최고예요. 초코시럽의 먹는 츄러스 너무 맛있어서 귀염둥이 조카들도 데려갔더니 이제까지 먹어본 추러스 중에 제일 맛있다고 하네요.
1415555171,5412한식,한정식,,,"육회김밥, 칼비빔면, 닭날개구이 맛있어요 추천드려요!! 캐치테이블로 예약해서 웨이팅 걸 수 있고요, 바라서 술은 하나 꼭 시켜야합니다. 참고하세요"
1415555171,5412한식,한정식,,,이번엔 안 먹어봤던 칼비빔면 시켜봤는데 아주 달짝함에 매콤함까지 비빔변 그 잡채구!! 여기 포인트가 얇게 썰어주신 깻잎에요!! 진짜 향긋함 미칩니도❤️
1415555171,5412한식,한정식,,,인기 메뉴 다 코스로 나와서 좋았어요! 하나도 빠짐없이 다 맛있었는데 특히 국수랑 새우전ㅠㅠㅠ👍👍
1415555171,5412한식,한정식,,,저녁에 방문예약 없이 이용대기 시간 30분 이내데이트연인・배우자
1415555171,5412한식,한정식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1415555171,5412한식,한정식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1415555171,5412한식,한정식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1415555171,5412한식,한정식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장데이트연인・배우자
1415555171,5412한식,한정식,,,저녁에 방문예약 없이 이용대기 시간 바로 입장일상지인・동료
1415555171,5412한식,한정식,,,저녁에 방문예약 후 이용대기 시간 바로 입장친목지인・동료
1415555171,5412한식,한정식,,,전통주류 가격 일반적이고 육회양 많고 새우크기 크고 통통. 꼬막크기! 이렇게 큰 꼬막은 꼬막 전문점에서도못먹어봤는데!2시간 이용이 살짝 아쉬우나 그 안에 충분히 즐기고 나옴 좋은곳
1415555171,5412한식,한정식,,,점심에 방문예약 없이 이용대기 시간 30분 이내친목친구
1415555171,5412한식,한정식,,,"점심에 방문예약 없이 이용대기 시간 바로 입장데이트, 일상연인・배우자"
1415555171,5412한식,한정식,,,점심에 방문예약 없이 이용대기 시간 바로 입장친목
1415555171,5412한식,한정식,,,점심에 방문예약 후 이용대기 시간 바로 입장데이트연인・배우자
