가게ID,가게명,업종,평점,날짜,리뷰내용
1637809662,23플래터,양식,,,가격도 저렴한데 음식도 너무 맛잇어여. 첫방문인데 다음에 또 방문해야겟어요
1637809662,23플래터,양식,,,가격도 저렴한데 음식도 너무 맛잇어여. 첫방문인데 다음에 또 방문해야겟어요
1637809662,23플래터,양식,,,간만에 서울 나들이 하면서 점심식사를 위해 들른곳이에요. 예약없이 왔더니 추석연휴라 대기가 좀 길었네요;;
1637809662,23플래터,양식,,,간만에 서울 나들이 하면서 점심식사를 위해 들른곳이에요. 예약없이 왔더니 추석연휴라 대기가 좀 길었네요;;
1637809662,23플래터,양식,,,너무 맛있게 잘 먹고 갑니다~~ 옥수수 베이컨 피자 강추!.! 데이트나 소개팅으로 오기에도 좋아요~ 가성비도 좋습니당 ㅎㅎ
1637809662,23플래터,양식,,,너무 맛있게 잘 먹고 갑니다~~ 옥수수 베이컨 피자 강추!.! 데이트나 소개팅으로 오기에도 좋아요~ 가성비도 좋습니당 ㅎㅎ
1637809662,23플래터,양식,,,너무 맛있게 잘 먹었어요ㅠㅠㅠㅠ 메뉴들이 하나같이 다 맛있어서 1등을 고를수가 없어요ㅠㅠ 직원분들도 너무 친절해서 기분좋은 저녁이었습니다😊 잘 먹었습니다💓
1637809662,23플래터,양식,,,너무 맛있게 잘 먹었어요ㅠㅠㅠㅠ 메뉴들이 하나같이 다 맛있어서 1등을 고를수가 없어요ㅠㅠ 직원분들도 너무 친절해서 기분좋은 저녁이었습니다😊 잘 먹었습니다💓
1637809662,23플래터,양식,,,네이버 리뷰이벤트로 리코따 치즈 샐러드를 받았지만 야채가 조금 상학것들이 군데군데 있어 아쉬웠다. 조금 더 신경써주셨으면 한다.
1637809662,23플래터,양식,,,네이버 리뷰이벤트로 리코따 치즈 샐러드를 받았지만 야채가 조금 상학것들이 군데군데 있어 아쉬웠다. 조금 더 신경써주셨으면 한다.
1637809662,23플래터,양식,,,다 맛있는데 그 중에 진짜 도른거는 옥수수베이컨 피자임 이거 진ㅁ자 제발 먹었으면 무조건 한입에 와암하고 먹어야 눈이 떠지고 오감이 살아남
1637809662,23플래터,양식,,,다 맛있는데 그 중에 진짜 도른거는 옥수수베이컨 피자임 이거 진ㅁ자 제발 먹었으면 무조건 한입에 와암하고 먹어야 눈이 떠지고 오감이 살아남
1637809662,23플래터,양식,,,데이트하러오기도 좋고 친구끼리도 오기 좋아요 커튼을 치고 이용할수있어서 프라이빗한 룸느낌도 납니다 음식도 빨리나오고 직원분들도 친절하셔서 좋습니다 특히 스텔라피자 강추합니다 고구마무스가 있어서 더 맛있어요 담에는 돈까스 먹어보려구요
1637809662,23플래터,양식,,,돈까스 왕돈까스라서 얼마나 클까 했는데 실제로 나오니까 생각보다 훨씬 더 커서 놀랐어요 ㅋㅋㅋㅋ 아란치니도 처음 먹어보는데 너무 맛있어서 완전 기다린 보람 있었던 것 같습니다!☺️
1637809662,23플래터,양식,,,돈까스 왕돈까스라서 얼마나 클까 했는데 실제로 나오니까 생각보다 훨씬 더 커서 놀랐어요 ㅋㅋㅋㅋ 아란치니도 처음 먹어보는데 너무 맛있어서 완전 기다린 보람 있었던 것 같습니다!☺️
1637809662,23플래터,양식,,,"먼저 마라크림파스타는 생각보다 더 마라향이 많이 나서 얼얼한 느낌, 오일파스타는 개인적으로 셋 중 제일 맛있었음. 로제리조또 또한, 은근한 매콤함이 있어서 느끼하지 않고, 다들 맛있게 먹을 맛 .!"
1637809662,23플래터,양식,,,"먼저 마라크림파스타는 생각보다 더 마라향이 많이 나서 얼얼한 느낌, 오일파스타는 개인적으로 셋 중 제일 맛있었음. 로제리조또 또한, 은근한 매콤함이 있어서 느끼하지 않고, 다들 맛있게 먹을 맛 .!"
